Genes,Result
ENSMUSG00000087528,1
ENSMUSG00000027335,1
ENSMUSG00000000881,1
ENSMUSG00000106296,1
ENSMUSG00000038729,1
ENSMUSG00000052135,1
ENSMUSG00000029027,1
ENSMUSG00000085069,1
ENSMUSG00000029321,1
ENSMUSG00000001739,1
ENSMUSG00000029552,1
ENSMUSG00000003348,1
ENSMUSG00000031530,1
ENSMUSG00000055994,1
ENSMUSG00000090889,1
ENSMUSG00000042045,1
ENSMUSG00000039114,1
ENSMUSG00000044636,1
ENSMUSG00000022868,1
ENSMUSG00000023176,1
ENSMUSG00000024330,1
ENSMUSG00000044469,1
ENSMUSG00000033107,1
ENSMUSG00000024935,1
ENSMUSG00000052748,2
ENSMUSG00000026589,2
ENSMUSG00000026582,2
ENSMUSG00000088246,2
ENSMUSG00000090222,2
ENSMUSG00000027559,2
ENSMUSG00000046694,2
ENSMUSG00000006638,2
ENSMUSG00000058427,2
ENSMUSG00000036948,2
ENSMUSG00000042213,2
ENSMUSG00000000183,2
ENSMUSG00000108658,2
ENSMUSG00000053985,2
ENSMUSG00000100826,2
ENSMUSG00000099481,2
ENSMUSG00000037921,2
ENSMUSG00000086859,2
ENSMUSG00000097906,2
ENSMUSG00000074800,2
ENSMUSG00000027313,3
ENSMUSG00000047907,3
ENSMUSG00000070583,3
ENSMUSG00000070577,3
ENSMUSG00000089809,3
ENSMUSG00000003477,3
ENSMUSG00000072872,3
ENSMUSG00000109274,3
ENSMUSG00000003752,3
ENSMUSG00000055489,3
ENSMUSG00000109904,3
ENSMUSG00000087530,3
ENSMUSG00000019883,3
ENSMUSG00000020256,3
ENSMUSG00000020169,3
ENSMUSG00000006731,3
ENSMUSG00000110588,3
ENSMUSG00000084808,3
ENSMUSG00000097589,3
ENSMUSG00000056919,3
ENSMUSG00000025161,3
ENSMUSG00000097141,3
ENSMUSG00000052920,3
ENSMUSG00000004896,4
ENSMUSG00000074207,4
ENSMUSG00000029544,4
ENSMUSG00000047735,4
ENSMUSG00000063415,4
ENSMUSG00000030317,4
ENSMUSG00000019850,4
ENSMUSG00000031980,4
ENSMUSG00000032377,4
ENSMUSG00000025145,4
ENSMUSG00000073409,4
ENSMUSG00000052229,4
ENSMUSG00000037035,5
ENSMUSG00000100078,5
ENSMUSG00000027832,5
ENSMUSG00000104802,5
ENSMUSG00000079065,5
ENSMUSG00000097392,5
ENSMUSG00000036718,5
ENSMUSG00000049130,5
ENSMUSG00000101609,5
ENSMUSG00000042138,5
ENSMUSG00000053310,5
ENSMUSG00000020120,5
ENSMUSG00000037243,5
ENSMUSG00000050370,5
ENSMUSG00000034765,5
ENSMUSG00000074733,5
ENSMUSG00000026475,6
ENSMUSG00000026832,6
ENSMUSG00000028360,6
ENSMUSG00000029372,6
ENSMUSG00000106375,6
ENSMUSG00000030159,6
ENSMUSG00000107997,6
ENSMUSG00000055116,6
ENSMUSG00000032261,6
ENSMUSG00000034394,6
ENSMUSG00000034664,6
ENSMUSG00000020689,6
ENSMUSG00000034686,6
ENSMUSG00000090582,6
ENSMUSG00000084416,7
ENSMUSG00000101795,7
ENSMUSG00000082127,7
ENSMUSG00000061272,7
ENSMUSG00000105879,7
ENSMUSG00000106037,7
ENSMUSG00000084274,7
ENSMUSG00000089646,7
ENSMUSG00000072692,7
ENSMUSG00000107176,7
ENSMUSG00000107383,7
ENSMUSG00000074978,7
ENSMUSG00000045799,7
ENSMUSG00000058922,7
ENSMUSG00000083061,7
ENSMUSG00000082481,7
ENSMUSG00000083394,7
ENSMUSG00000025922,7
ENSMUSG00000061848,7
ENSMUSG00000092014,7
ENSMUSG00000091549,7
ENSMUSG00000050447,8
ENSMUSG00000097837,8
ENSMUSG00000073016,8
ENSMUSG00000089945,8
ENSMUSG00000029563,8
ENSMUSG00000085272,8
ENSMUSG00000109279,8
ENSMUSG00000034041,8
ENSMUSG00000049092,8
ENSMUSG00000072294,8
ENSMUSG00000111815,8
ENSMUSG00000086596,8
ENSMUSG00000020474,8
ENSMUSG00000000567,8
ENSMUSG00000056553,8
ENSMUSG00000097221,8
ENSMUSG00000102676,9
ENSMUSG00000015093,9
ENSMUSG00000104465,9
ENSMUSG00000086769,9
ENSMUSG00000046733,9
ENSMUSG00000092500,9
ENSMUSG00000109115,9
ENSMUSG00000111312,9
ENSMUSG00000086645,9
ENSMUSG00000040276,9
ENSMUSG00000102748,9
ENSMUSG00000047330,10
ENSMUSG00000037860,10
ENSMUSG00000027160,10
ENSMUSG00000085028,10
ENSMUSG00000054737,10
ENSMUSG00000097004,10
ENSMUSG00000029798,10
ENSMUSG00000108322,10
ENSMUSG00000044770,10
ENSMUSG00000060470,10
ENSMUSG00000031673,10
ENSMUSG00000032607,10
ENSMUSG00000069763,10
ENSMUSG00000039704,10
ENSMUSG00000023868,10
ENSMUSG00000023912,10
ENSMUSG00000026090,11
ENSMUSG00000048096,11
ENSMUSG00000002109,11
ENSMUSG00000027360,11
ENSMUSG00000059708,11
ENSMUSG00000056071,11
ENSMUSG00000046667,11
ENSMUSG00000059939,11
ENSMUSG00000105442,11
ENSMUSG00000032690,11
ENSMUSG00000085666,11
ENSMUSG00000035595,11
ENSMUSG00000087253,11
ENSMUSG00000073434,11
ENSMUSG00000002289,11
ENSMUSG00000024905,11
ENSMUSG00000026826,12
ENSMUSG00000040289,12
ENSMUSG00000078532,12
ENSMUSG00000029500,12
ENSMUSG00000037344,12
ENSMUSG00000053007,12
ENSMUSG00000057143,12
ENSMUSG00000005413,12
ENSMUSG00000021750,12
