Genes,Result
ENSMUSG00000026580,1
ENSMUSG00000080942,1
ENSMUSG00000049230,1
ENSMUSG00000087314,1
ENSMUSG00000058427,1
ENSMUSG00000097692,1
ENSMUSG00000085573,1
ENSMUSG00000098211,1
ENSMUSG00000000982,1
ENSMUSG00000086786,1
ENSMUSG00000096458,1
ENSMUSG00000087141,1
ENSMUSG00000099858,2
ENSMUSG00000026581,2
ENSMUSG00000053475,2
ENSMUSG00000097025,2
ENSMUSG00000087151,2
ENSMUSG00000040522,2
ENSMUSG00000104737,2
ENSMUSG00000097904,2
ENSMUSG00000092500,2
ENSMUSG00000089886,2
ENSMUSG00000110146,2
ENSMUSG00000109005,2
ENSMUSG00000109279,2
ENSMUSG00000097082,2
ENSMUSG00000110669,2
ENSMUSG00000070084,2
ENSMUSG00000034997,2
ENSMUSG00000056130,2
ENSMUSG00000086430,3
ENSMUSG00000027560,3
ENSMUSG00000074570,3
ENSMUSG00000080935,3
ENSMUSG00000108694,3
ENSMUSG00000108732,3
ENSMUSG00000109498,3
ENSMUSG00000110062,3
ENSMUSG00000097472,3
ENSMUSG00000084145,3
ENSMUSG00000022479,3
ENSMUSG00000075122,3
ENSMUSG00000040490,3
ENSMUSG00000054745,3
ENSMUSG00000045498,3
ENSMUSG00000026271,4
ENSMUSG00000074987,4
ENSMUSG00000084797,4
ENSMUSG00000031376,4
ENSMUSG00000087263,4
ENSMUSG00000050493,4
ENSMUSG00000095159,4
ENSMUSG00000078787,4
ENSMUSG00000040364,4
ENSMUSG00000102062,4
ENSMUSG00000110690,4
ENSMUSG00000022219,4
ENSMUSG00000087135,4
ENSMUSG00000048534,4
ENSMUSG00000020399,4
ENSMUSG00000079012,4
ENSMUSG00000026358,5
ENSMUSG00000101859,5
ENSMUSG00000039546,5
ENSMUSG00000049939,5
ENSMUSG00000030000,5
ENSMUSG00000079462,5
ENSMUSG00000030144,5
ENSMUSG00000108923,5
ENSMUSG00000030708,5
ENSMUSG00000043613,5
ENSMUSG00000058755,5
ENSMUSG00000078141,5
ENSMUSG00000003665,5
ENSMUSG00000103966,6
ENSMUSG00000004892,6
ENSMUSG00000056071,6
ENSMUSG00000028716,6
ENSMUSG00000028794,6
ENSMUSG00000029371,6
ENSMUSG00000106750,6
ENSMUSG00000048636,6
ENSMUSG00000107846,6
ENSMUSG00000035773,6
ENSMUSG00000097889,6
ENSMUSG00000056888,6
ENSMUSG00000110676,6
ENSMUSG00000021298,6
ENSMUSG00000056656,6
ENSMUSG00000087684,7
ENSMUSG00000049649,7
ENSMUSG00000098230,7
ENSMUSG00000106904,7
ENSMUSG00000084519,7
ENSMUSG00000110683,7
ENSMUSG00000110946,7
ENSMUSG00000034837,7
ENSMUSG00000087242,7
ENSMUSG00000025380,7
ENSMUSG00000092284,7
ENSMUSG00000096592,7
ENSMUSG00000026180,8
ENSMUSG00000062170,8
ENSMUSG00000031397,8
ENSMUSG00000050921,8
ENSMUSG00000056054,8
ENSMUSG00000105355,8
ENSMUSG00000086320,8
ENSMUSG00000025746,8
ENSMUSG00000105622,8
ENSMUSG00000054161,8
ENSMUSG00000009246,8
ENSMUSG00000032092,8
ENSMUSG00000022651,8
ENSMUSG00000073400,8
ENSMUSG00000005233,9
ENSMUSG00000075012,9
ENSMUSG00000050931,9
ENSMUSG00000040264,9
ENSMUSG00000080875,9
ENSMUSG00000004415,9
ENSMUSG00000045725,9
