Genes,Result
ENSMUSG00000056494,1
ENSMUSG00000052135,1
ENSMUSG00000054958,1
ENSMUSG00000085105,1
ENSMUSG00000109498,1
ENSMUSG00000020256,1
ENSMUSG00000025395,1
ENSMUSG00000036322,1
ENSMUSG00000097141,1
ENSMUSG00000065460,2
ENSMUSG00000105568,2
ENSMUSG00000105970,2
ENSMUSG00000107624,2
ENSMUSG00000065147,2
ENSMUSG00000105140,2
ENSMUSG00000061086,2
ENSMUSG00000026357,3
ENSMUSG00000070583,3
ENSMUSG00000055489,3
ENSMUSG00000020169,3
ENSMUSG00000019102,3
ENSMUSG00000052188,3
ENSMUSG00000052920,3
ENSMUSG00000055980,4
ENSMUSG00000026358,4
ENSMUSG00000027398,4
ENSMUSG00000104871,4
ENSMUSG00000105434,4
ENSMUSG00000051067,4
ENSMUSG00000091089,4
ENSMUSG00000085609,4
ENSMUSG00000040289,5
ENSMUSG00000001027,5
ENSMUSG00000056749,5
ENSMUSG00000022797,5
ENSMUSG00000050592,6
ENSMUSG00000074207,6
ENSMUSG00000061436,6
ENSMUSG00000030089,6
ENSMUSG00000030317,6
ENSMUSG00000033624,6
ENSMUSG00000026628,7
ENSMUSG00000043415,7
ENSMUSG00000020205,7
ENSMUSG00000032265,7
ENSMUSG00000020889,7
ENSMUSG00000021313,7
ENSMUSG00000054640,7
ENSMUSG00000047330,8
ENSMUSG00000102869,8
ENSMUSG00000054659,8
ENSMUSG00000021952,8
ENSMUSG00000069763,8
ENSMUSG00000084883,8
ENSMUSG00000022383,8
ENSMUSG00000005580,8
ENSMUSG00000064344,8
ENSMUSG00000027996,9
ENSMUSG00000108238,9
ENSMUSG00000086773,9
ENSMUSG00000111767,9
ENSMUSG00000020897,9
ENSMUSG00000103932,9
ENSMUSG00000083674,10
ENSMUSG00000073016,10
ENSMUSG00000068745,10
ENSMUSG00000105112,10
ENSMUSG00000042045,10
ENSMUSG00000061718,10
ENSMUSG00000102805,11
ENSMUSG00000074194,11
ENSMUSG00000103789,11
ENSMUSG00000048004,11
ENSMUSG00000097837,12
ENSMUSG00000090053,12
ENSMUSG00000089945,12
ENSMUSG00000108332,12
ENSMUSG00000085194,12
ENSMUSG00000037725,12
ENSMUSG00000020961,12
ENSMUSG00000047497,12
ENSMUSG00000084781,13
ENSMUSG00000029641,13
ENSMUSG00000109115,13
ENSMUSG00000055116,13
ENSMUSG00000111312,13
ENSMUSG00000039704,13
ENSMUSG00000023176,13
ENSMUSG00000103046,14
ENSMUSG00000104388,14
ENSMUSG00000062319,14
ENSMUSG00000106446,14
ENSMUSG00000036578,14
ENSMUSG00000109799,14
ENSMUSG00000065432,14
ENSMUSG00000048329,14
ENSMUSG00000090185,14
ENSMUSG00000081123,15
ENSMUSG00000078552,15
ENSMUSG00000036923,15
ENSMUSG00000109873,15
ENSMUSG00000103164,15
ENSMUSG00000084844,15
ENSMUSG00000060716,15
ENSMUSG00000085337,15
ENSMUSG00000024245,15
ENSMUSG00000104002,16
ENSMUSG00000093277,16
ENSMUSG00000027469,16
ENSMUSG00000036334,16
ENSMUSG00000038276,16
ENSMUSG00000107091,16
ENSMUSG00000108633,16
ENSMUSG00000087672,16
ENSMUSG00000095677,16
