Genes,Result
ENSMUSG00000036768,1
ENSMUSG00000028457,1
ENSMUSG00000097579,1
ENSMUSG00000082248,1
ENSMUSG00000102571,1
ENSMUSG00000079363,1
ENSMUSG00000087055,1
ENSMUSG00000037386,1
ENSMUSG00000098176,1
ENSMUSG00000067928,2
ENSMUSG00000032443,2
ENSMUSG00000020911,2
ENSMUSG00000023015,2
ENSMUSG00000078307,2
ENSMUSG00000084989,2
ENSMUSG00000018238,2
ENSMUSG00000035165,3
ENSMUSG00000110317,3
ENSMUSG00000082793,3
ENSMUSG00000086825,3
ENSMUSG00000082693,3
ENSMUSG00000106947,3
ENSMUSG00000097123,3
ENSMUSG00000026683,4
ENSMUSG00000038379,4
ENSMUSG00000034311,4
ENSMUSG00000093826,4
ENSMUSG00000025922,4
ENSMUSG00000072568,5
ENSMUSG00000048387,5
ENSMUSG00000041431,5
ENSMUSG00000028386,5
ENSMUSG00000058620,5
ENSMUSG00000020123,5
ENSMUSG00000068101,6
ENSMUSG00000084782,6
ENSMUSG00000097567,6
ENSMUSG00000066319,6
ENSMUSG00000000791,6
ENSMUSG00000036923,6
ENSMUSG00000028967,7
ENSMUSG00000097827,7
ENSMUSG00000097158,7
ENSMUSG00000049625,7
ENSMUSG00000097380,7
ENSMUSG00000069793,7
ENSMUSG00000105391,7
ENSMUSG00000082171,7
ENSMUSG00000054967,7
ENSMUSG00000106940,8
ENSMUSG00000039377,8
ENSMUSG00000042788,8
ENSMUSG00000107619,8
ENSMUSG00000034394,8
ENSMUSG00000027306,8
ENSMUSG00000108154,8
ENSMUSG00000105881,9
ENSMUSG00000044707,9
ENSMUSG00000034353,9
ENSMUSG00000027270,9
ENSMUSG00000038751,9
ENSMUSG00000101678,9
ENSMUSG00000107468,10
ENSMUSG00000035683,10
ENSMUSG00000027524,10
ENSMUSG00000042333,10
ENSMUSG00000029915,11
ENSMUSG00000042489,11
ENSMUSG00000021485,11
ENSMUSG00000079884,11
ENSMUSG00000022218,11
ENSMUSG00000026955,11
ENSMUSG00000097915,11
ENSMUSG00000053719,11
ENSMUSG00000030483,11
ENSMUSG00000025900,12
ENSMUSG00000071237,12
ENSMUSG00000017146,12
ENSMUSG00000100005,12
ENSMUSG00000061100,12
ENSMUSG00000048826,13
ENSMUSG00000023031,13
ENSMUSG00000105345,13
ENSMUSG00000031980,13
ENSMUSG00000022766,13
ENSMUSG00000105822,14
ENSMUSG00000030677,14
ENSMUSG00000110419,14
ENSMUSG00000000562,14
ENSMUSG00000062257,14
ENSMUSG00000031004,15
ENSMUSG00000109857,15
ENSMUSG00000097358,15
ENSMUSG00000026669,15
ENSMUSG00000082109,15
ENSMUSG00000083678,15
ENSMUSG00000020524,15
ENSMUSG00000108536,16
ENSMUSG00000034792,16
ENSMUSG00000030724,16
ENSMUSG00000105990,16
ENSMUSG00000105478,16
ENSMUSG00000030806,17
ENSMUSG00000066861,17
ENSMUSG00000015880,17
ENSMUSG00000096549,17
ENSMUSG00000039704,17
ENSMUSG00000057913,17
ENSMUSG00000047534,18
ENSMUSG00000083792,18
ENSMUSG00000028068,18
ENSMUSG00000017204,18
