Genes,Result
ENSMUSG00000026580,1
ENSMUSG00000086430,1
ENSMUSG00000049230,1
ENSMUSG00000104693,1
ENSMUSG00000063929,1
ENSMUSG00000081179,1
ENSMUSG00000058427,1
ENSMUSG00000105742,1
ENSMUSG00000107846,1
ENSMUSG00000108923,1
ENSMUSG00000030724,1
ENSMUSG00000110071,1
ENSMUSG00000050751,1
ENSMUSG00000057886,1
ENSMUSG00000032093,1
ENSMUSG00000110863,1
ENSMUSG00000111325,1
ENSMUSG00000058755,1
ENSMUSG00000058163,1
ENSMUSG00000018168,1
ENSMUSG00000075122,1
ENSMUSG00000048164,1
ENSMUSG00000045498,1
ENSMUSG00000024936,1
ENSMUSG00000103966,2
ENSMUSG00000074987,2
ENSMUSG00000067768,2
ENSMUSG00000090141,2
ENSMUSG00000048621,2
ENSMUSG00000085702,2
ENSMUSG00000004892,2
ENSMUSG00000056071,2
ENSMUSG00000081593,2
ENSMUSG00000028794,2
ENSMUSG00000096351,2
ENSMUSG00000029371,2
ENSMUSG00000106164,2
ENSMUSG00000105349,2
ENSMUSG00000003379,2
ENSMUSG00000035773,2
ENSMUSG00000097889,2
ENSMUSG00000078931,2
ENSMUSG00000063821,2
ENSMUSG00000048534,2
ENSMUSG00000110676,2
ENSMUSG00000021298,2
ENSMUSG00000024402,2
ENSMUSG00000086333,2
ENSMUSG00000100546,3
ENSMUSG00000061186,3
ENSMUSG00000085427,3
ENSMUSG00000031376,3
ENSMUSG00000027555,3
ENSMUSG00000048636,3
ENSMUSG00000108256,3
ENSMUSG00000040498,3
ENSMUSG00000047884,3
ENSMUSG00000109005,3
ENSMUSG00000005540,3
ENSMUSG00000022219,3
ENSMUSG00000084347,3
ENSMUSG00000087242,3
ENSMUSG00000000982,3
ENSMUSG00000017204,3
ENSMUSG00000087141,3
ENSMUSG00000024521,3
ENSMUSG00000099858,4
ENSMUSG00000097025,4
ENSMUSG00000073207,4
ENSMUSG00000092500,4
ENSMUSG00000109279,4
ENSMUSG00000110669,4
ENSMUSG00000070084,4
ENSMUSG00000033998,4
ENSMUSG00000043773,4
ENSMUSG00000021638,4
ENSMUSG00000103821,5
ENSMUSG00000026581,5
ENSMUSG00000106665,5
ENSMUSG00000087611,5
ENSMUSG00000047515,5
ENSMUSG00000089886,5
ENSMUSG00000110237,5
ENSMUSG00000097082,5
ENSMUSG00000064125,5
ENSMUSG00000085573,5
ENSMUSG00000110245,5
ENSMUSG00000089776,5
ENSMUSG00000098211,5
ENSMUSG00000088769,5
ENSMUSG00000078653,5
ENSMUSG00000099708,5
ENSMUSG00000026358,6
ENSMUSG00000101859,6
ENSMUSG00000042788,6
ENSMUSG00000106831,6
ENSMUSG00000108033,6
ENSMUSG00000030144,6
ENSMUSG00000030708,6
ENSMUSG00000009246,6
ENSMUSG00000064065,6
ENSMUSG00000057913,6
ENSMUSG00000065590,6
ENSMUSG00000037944,6
ENSMUSG00000078141,6
ENSMUSG00000003665,6
ENSMUSG00000090145,7
ENSMUSG00000087684,7
ENSMUSG00000028071,7
ENSMUSG00000074206,7
ENSMUSG00000104720,7
ENSMUSG00000106750,7
ENSMUSG00000106904,7
ENSMUSG00000079462,7
ENSMUSG00000032053,7
ENSMUSG00000032278,7
ENSMUSG00000107877,7
ENSMUSG00000018930,7
ENSMUSG00000056656,7
ENSMUSG00000092284,7
ENSMUSG00000071658,7
ENSMUSG00000026180,8
ENSMUSG00000085563,8
ENSMUSG00000031397,8
ENSMUSG00000050921,8
ENSMUSG00000048916,8
ENSMUSG00000056054,8
ENSMUSG00000105355,8
ENSMUSG00000025746,8
ENSMUSG00000105622,8
ENSMUSG00000056203,8
ENSMUSG00000054161,8
ENSMUSG00000108324,8
ENSMUSG00000035211,8
ENSMUSG00000097300,8
ENSMUSG00000086444,8
ENSMUSG00000032514,8
ENSMUSG00000111639,8
ENSMUSG00000089827,8
ENSMUSG00000093897,8
ENSMUSG00000022651,8
ENSMUSG00000073400,8
ENSMUSG00000042265,8
ENSMUSG00000103072,9
ENSMUSG00000062170,9
ENSMUSG00000094958,9
ENSMUSG00000086320,9
ENSMUSG00000029377,9
ENSMUSG00000101268,9
ENSMUSG00000084519,9
ENSMUSG00000037541,9
ENSMUSG00000098544,9
ENSMUSG00000104755,9
ENSMUSG00000003484,9
ENSMUSG00000089820,9
ENSMUSG00000032092,9
ENSMUSG00000034837,9
ENSMUSG00000097267,9
ENSMUSG00000092539,9
ENSMUSG00000096592,9
ENSMUSG00000027368,10
ENSMUSG00000056738,10
ENSMUSG00000027398,10
ENSMUSG00000082693,10
ENSMUSG00000028031,10
ENSMUSG00000105895,10
ENSMUSG00000105345,10
ENSMUSG00000099696,10
ENSMUSG00000074269,10
ENSMUSG00000039321,10
ENSMUSG00000021118,10
ENSMUSG00000073607,10
ENSMUSG00000073598,10
ENSMUSG00000024791,10
ENSMUSG00000104507,11
ENSMUSG00000026630,11
ENSMUSG00000072980,11
ENSMUSG00000027832,11
ENSMUSG00000093507,11
ENSMUSG00000035364,11
ENSMUSG00000108447,11
ENSMUSG00000040963,11
ENSMUSG00000085609,11
ENSMUSG00000021384,11
ENSMUSG00000093565,11
ENSMUSG00000006403,12
ENSMUSG00000097045,12
ENSMUSG00000079497,12
ENSMUSG00000026832,12
ENSMUSG00000085568,12
